>Eukarya (Plant Species)
Abrus precatorius	Abrus_precatorius_trna.fa
Ostreococcus lucimarinus CCE9901	Ostreococcus_lucimarinus_CCE9901_trna.fa
Ostreococcus lucimarinus	Ostreococcus_lucimarinus_trna.fa
Ostreococcus tauri	Ostreococcus_tauri_trna.fa
Panicum hallii	Panicum_hallii_trna.fa
Panicum virgatum	Panicum_virgatum_trna.fa
Papaver somniferum	Papaver_somniferum_trna.fa
Parasponia andersonii	Parasponia_andersonii_trna.fa
Perilla frutescens var. frutescens	Perilla_frutescens_var._frutescens_trna.fa
Phalaenopsis equestris	Phalaenopsis_equestris_trna.fa
Phaseolus vulgaris	Phaseolus_vulgaris_trna.fa
Phoenix dactylifera	Phoenix_dactylifera_trna.fa
Phtheirospermum japonicum	Phtheirospermum_japonicum_trna.fa
Physcomitrella patens	Physcomitrella_patens_trna.fa
Pistacia vera	Pistacia_vera_trna.fa
Populus alba	Populus_alba_trna.fa
Populus deltoides	Populus_deltoides_trna.fa
Populus euphratica	Populus_euphratica_trna.fa
Populus tomentosa	Populus_tomentosa_trna.fa
Populus trichocarpa	Populus_trichocarpa_trna.fa
Prosopis alba	Prosopis_alba_trna.fa
Prunus armeniaca	Prunus_armeniaca_trna.fa
Prunus avium	Prunus_avium_trna.fa
Prunus dulcis	Prunus_dulcis_trna.fa
Prunus mume	Prunus_mume_trna.fa
Prunus persica	Prunus_persica_trna.fa
Punica granatum	Punica_granatum_trna.fa
Pycnococcus provasolii	Pycnococcus_provasolii_trna.fa
Pyrus ussuriensis x Pyrus communis	Pyrus_ussuriensis_x_Pyrus_communis_trna.fa
Pyrus x bretschneideri	Pyrus_x_bretschneideri_trna.fa
Quercus lobata	Quercus_lobata_trna.fa
Quercus suber	Quercus_suber_trna.fa
Raphanus sativus	Raphanus_sativus_trna.fa
Raphidocelis subcapitata	Raphidocelis_subcapitata_trna.fa
Rhamnella rubrinervis	Rhamnella_rubrinervis_trna.fa
Rhododendron griersonianum	Rhododendron_griersonianum_trna.fa
Rhododendron simsii	Rhododendron_simsii_trna.fa
Rhododendron williamsianum	Rhododendron_williamsianum_trna.fa
Ricinus communis	Ricinus_communis_trna.fa
Rosa chinensis	Rosa_chinensis_trna.fa
Salix brachista	Salix_brachista_trna.fa
Salix dunnii	Salix_dunnii_trna.fa
Salix suchowensis	Salix_suchowensis_trna.fa
Salvia splendens	Salvia_splendens_trna.fa
Selaginella moellendorffii	Selaginella_moellendorffii_trna.fa
Senna tora	Senna_tora_trna.fa
Sesamum indicum	Sesamum_indicum_trna.fa
Setaria italica	Setaria_italica_trna.fa
Setaria viridis	Setaria_viridis_trna.fa
Sinapis alba	Sinapis_alba_trna.fa
Solanum chilense	Solanum_chilense_trna.fa
Solanum commersonii	Solanum_commersonii_trna.fa
Solanum lycopersicum	Solanum_lycopersicum_trna.fa
Solanum pennellii	Solanum_pennellii_trna.fa
Solanum tuberosum	Solanum_tuberosum_trna.fa
Sorghum bicolor	Sorghum_bicolor_trna.fa
Spatholobus suberectus	Spatholobus_suberectus_trna.fa
Spinacia oleracea	Spinacia_oleracea_trna.fa
Spirodela intermedia	Spirodela_intermedia_trna.fa
Striga asiatica	Striga_asiatica_trna.fa
Tarenaya hassleriana	Tarenaya_hassleriana_trna.fa
Telopea speciosissima	Telopea_speciosissima_trna.fa
Tetrabaena socialis	Tetrabaena_socialis_trna.fa
Tetracentron sinense	Tetracentron_sinense_trna.fa
Thalictrum thalictroides	Thalictrum_thalictroides_trna.fa
Theobroma cacao	Theobroma_cacao_trna.fa
Trema orientale	Trema_orientale_trna.fa
Trifolium medium	Trifolium_medium_trna.fa
Trifolium pratense	Trifolium_pratense_trna.fa
Trifolium subterraneum	Trifolium_subterraneum_trna.fa
Tripterygium wilfordii	Tripterygium_wilfordii_trna.fa
Triticum aestivum	Triticum_aestivum_trna.fa
Triticum dicoccoides	Triticum_dicoccoides_trna.fa
Triticum turgidum subsp. durum	Triticum_turgidum_subsp._durum_trna.fa
Vaccinium darrowii	Vaccinium_darrowii_trna.fa
Vanilla planifolia	Vanilla_planifolia_trna.fa
Vigna angularis	Vigna_angularis_trna.fa
Vigna radiata	Vigna_radiata_trna.fa
Vigna radiata var. radiata	Vigna_radiata_var._radiata_trna.fa
Vigna unguiculata	Vigna_unguiculata_trna.fa
Vitis vinifera	Vitis_vinifera_trna.fa
Volvox africanus	Volvox_africanus_trna.fa
Volvox carteri	Volvox_carteri_trna.fa
Zea mays	Zea_mays_trna.fa
Zingiber officinale	Zingiber_officinale_trna.fa
Zizania palustris	Zizania_palustris_trna.fa
Ziziphus jujuba	Ziziphus_jujuba_trna.fa
Zostera marina	Zostera_marina_trna.fa
>Eukarya (Others)
Caenorhabditis briggsae (cb25.agp8 July 2002)	Cbrig-tRNAs.fa
Caenorhabditis elegans (May 2003)	Celeg-tRNAs.fa
Canis familiaris (canFam1 July 2004)	Cfam1-tRNAs.fa
Drosophila melanogaster (Release 4)	Dm-tRNAs.fa
Takifugu rubripes (v.3.0 Aug. 2002) 	Fr1-tRNAs.fa
Gallus gallus (galGal2 Feb 2004)	Ggal2-tRNAs-all.fa
Homo sapiens (Hg17 May 2004 assembly)	Hg17-tRNAs.fa
Mus musculus (mm6 March 2005)	Mm6-tRNAs.fa
Plasmodium falciparum (Oct 2002)	Pfalc-tRNAs.fa
Pan troglodytes (chimp) (Nov 2003 assembly)	panTro1-tRNAs-all.fa
Rattus norvegicus (rn3 June 2003 assembly)	Rn3-tRNAs.fa
Saccharomyces cerevisiae	Sc-tRNAs.fa
Schizosaccharomyces pombe (v. July 2004)	Sp-tRNAs.fa
>Archaea
Aeropyrum pernix	Aero_pern-tRNAs.fa
Archaeoglobus fulgidus	Arch_fulg-tRNAs.fa
Haloarcula marismortui ATCC 43049	Halo_mari_ATCC_43049-tRNAs.fa
Halobacterium sp	Halo_sp-tRNAs.fa
Methanosarcina acetivorans	Meth_acet-tRNAs.fa
Methanococcus jannaschii	Meth_jann-tRNAs.fa
Methanopyrus kandleri	Meth_kand-tRNAs.fa
Methanococcus maripaludis S2	Meth_mari_S2-tRNAs.fa
Methanosarcina mazei	Meth_maze-tRNAs.fa
Methanobacterium thermoautotrophicum	Meth_ther-tRNAs.fa
Nanoarchaeum equitans	Nano_equi-tRNAs.fa
Picrophilus torridus DSM 9790	Picr_torr_DSM_9790-tRNAs.fa
Pyrococcus abyssi	Pyro_abys-tRNAs.fa
Pyrobaculum aerophilum	Pyro_aero-tRNAs.fa
Pyrococcus furiosus	Pyro_furi-tRNAs.fa
Pyrococcus horikoshii	Pyro_hori-tRNAs.fa
Sulfolobus acidocaldarius DSM 639	Sulf_acid_DSM_639-tRNAs.fa
Sulfolobus solfataricus	Sulf_solf-tRNAs.fa
Sulfolobus tokodaii	Sulf_toko-tRNAs.fa
Thermoplasma acidophilum	Ther_acid-tRNAs.fa
Thermococcus kodakaraensis KOD1	Ther_koda_KOD1-tRNAs.fa
Thermoplasma volcanium	Ther_volc-tRNAs.fa
>Bacteria
Acinetobacter sp ADP1	Acin_sp_ADP1-tRNAs.fa
Agrobacterium tumefaciens C58 Cereon	Agro_tume_C58_Cereon-tRNAs.fa
Agrobacterium tumefaciens C58 UWash	Agro_tume_C58_UWash-tRNAs.fa
Anaplasma marginale St Maries	Anap_marg_St_Maries-tRNAs.fa
Aquifex aeolicus	Aqui_aeol-tRNAs.fa
Azoarcus sp EbN1	Azoa_sp_EbN1-tRNAs.fa
Bacillus anthracis A2012	Baci_anth_A2012-tRNAs.fa
Bacillus anthracis Ames	Baci_anth_Ames-tRNAs.fa
Bacillus anthracis Ames 0581	Baci_anth_Ames_0581-tRNAs.fa
Bacillus anthracis str Sterne	Baci_anth_str_Sterne-tRNAs.fa
Bacillus cereus ATCC14579	Baci_cere_ATCC14579-tRNAs.fa
Bacillus cereus ATCC 10987	Baci_cere_ATCC_10987-tRNAs.fa
Bacillus cereus ZK	Baci_cere_ZK-tRNAs.fa
Bacillus clausii KSM-K16	Baci_clau_KSM-K16-tRNAs.fa
Bacillus halodurans	Baci_halo-tRNAs.fa
Bacillus licheniformis ATCC 14580	Baci_lich_ATCC_14580-tRNAs.fa
Bacillus licheniformis DSM 13	Baci_lich_DSM_13-tRNAs.fa
Bacillus subtilis	Baci_subt-tRNAs.fa
Bacillus thuringiensis konkukian	Baci_thur_konkukian-tRNAs.fa
Bacteroides fragilis NCTC 9434	Bact_frag_NCTC_9434-tRNAs.fa
Bacteroides fragilis YCH46	Bact_frag_YCH46-tRNAs.fa
Bacteroides thetaiotaomicron VPI-5482	Bact_thet_VPI-5482-tRNAs.fa
Bartonella henselae Houston-1	Bart_hens_Houston-1-tRNAs.fa
Bartonella quintana Toulouse	Bart_quin_Toulouse-tRNAs.fa
Bdellovibrio bacteriovorus	Bdel_bact-tRNAs.fa
Bifidobacterium longum	Bifi_long-tRNAs.fa
Blochmannia floridanus	Bloc_flor-tRNAs.fa
Bordetella bronchiseptica	Bord_bron-tRNAs.fa
Bordetella parapertussis	Bord_para-tRNAs.fa
Bordetella pertussis	Bord_pert-tRNAs.fa
Borrelia burgdorferi	Borr_burg-tRNAs.fa
Borrelia garinii PBi	Borr_gari_PBi-tRNAs.fa
Bradyrhizobium japonicum	Brad_japo-tRNAs.fa
Brucella abortus 9-941	Bruc_abor_9-941-tRNAs.fa
Brucella melitensis	Bruc_meli-tRNAs.fa
Brucella suis 1330	Bruc_suis_1330-tRNAs.fa
Buchnera aphidicola	Buch_aphi-tRNAs.fa
Buchnera aphidicola Sg	Buch_aphi_Sg-tRNAs.fa
Buchnera sp	Buch_sp-tRNAs.fa
Burkholderia mallei ATCC 23344	Burk_mall_ATCC_23344-tRNAs.fa
Burkholderia pseudomallei K96243	Burk_pseu_K96243-tRNAs.fa
Campylobacter jejuni	Camp_jeju-tRNAs.fa
Campylobacter jejuni RM1221	Camp_jeju_RM1221-tRNAs.fa
Caulobacter crescentus	Caul_cres-tRNAs.fa
Chlamydophila abortus S26 3	Chla_abor_S26_3-tRNAs.fa
Chlamydophila caviae	Chla_cavi-tRNAs.fa
Chlamydia muridarum	Chla_muri-tRNAs.fa
Chlamydophila pneumoniae AR39	Chla_pneu_AR39-tRNAs.fa
Chlamydophila pneumoniae CWL029	Chla_pneu_CWL029-tRNAs.fa
Chlamydophila pneumoniae J138	Chla_pneu_J138-tRNAs.fa
Chlamydophila pneumoniae TW 183	Chla_pneu_TW_183-tRNAs.fa
Chlamydia trachomatis	Chla_trac-tRNAs.fa
Chlorobium tepidum TLS	Chlo_tepi_TLS-tRNAs.fa
Chromobacterium violaceum	Chro_viol-tRNAs.fa
Clostridium acetobutylicum	Clos_acet-tRNAs.fa
Clostridium perfringens	Clos_perf-tRNAs.fa
Clostridium tetani E88	Clos_teta_E88-tRNAs.fa
Corynebacterium diphtheriae	Cory_diph-tRNAs.fa
Corynebacterium efficiens YS-314	Cory_effi_YS-314-tRNAs.fa
Corynebacterium glutamicum	Cory_glut-tRNAs.fa
Corynebacterium glutamicum ATCC 13032 Bielefeld	Cory_glut_ATCC_13032_Bielefeld-tRNAs.fa
Corynebacterium glutamicum ATCC 13032 Kitasato	Cory_glut_ATCC_13032_Kitasato-tRNAs.fa
Coxiella burnetii	Coxi_burn-tRNAs.fa
Dehalococcoides ethenogenes 195	Deha_ethe_195-tRNAs.fa
Deinococcus radiodurans	Dein_radi-tRNAs.fa
Desulfotalea psychrophila LSv54	Desu_psyc_LSv54-tRNAs.fa
Desulfovibrio vulgaris Hildenborough	Desu_vulg_Hildenborough-tRNAs.fa
Ehrlichia ruminantium Gardel	Ehrl_rumi_Gardel-tRNAs.fa
Ehrlichia ruminantium Welgevonden	Ehrl_rumi_Welgevonden-tRNAs.fa
Ehrlichia ruminantium str. Welgevonden	Ehrl_rumi_str._Welgevonden-tRNAs.fa
Enterococcus faecalis V583	Ente_faec_V583-tRNAs.fa
Erwinia carotovora atroseptica SCRI1043	Erwi_caro_atroseptica_SCRI1043-tRNAs.fa
Escherichia coli CFT073	Esch_coli_CFT073-tRNAs.fa
Escherichia coli K12	Esch_coli_K12-tRNAs.fa
Escherichia coli O157H7	Esch_coli_O157H7-tRNAs.fa
Escherichia coli O157H7 EDL933	Esch_coli_O157H7_EDL933-tRNAs.fa
Francisella tularensis tularensis	Fran_tula_tularensis-tRNAs.fa
Fusobacterium nucleatum	Fuso_nucl-tRNAs.fa
Geobacillus kaustophilus HTA426	Geob_kaus_HTA426-tRNAs.fa
Geobacter sulfurreducens	Geob_sulf-tRNAs.fa
Gloeobacter violaceus	Gloe_viol-tRNAs.fa
Gluconobacter oxydans 621H	Gluc_oxyd_621H-tRNAs.fa
Haemophilus ducreyi 35000HP	Haem_ducr_35000HP-tRNAs.fa
Haemophilus influenzae	Haem_infl-tRNAs.fa
Haemophilus influenzae 86 028NP	Haem_infl_86_028NP-tRNAs.fa
Helicobacter hepaticus	Heli_hepa-tRNAs.fa
Helicobacter pylori 26695	Heli_pylo_26695-tRNAs.fa
Helicobacter pylori J99	Heli_pylo_J99-tRNAs.fa
Idiomarina loihiensis L2TR	Idio_loih_L2TR-tRNAs.fa
Lactobacillus acidophilus NCFM	Lact_acid_NCFM-tRNAs.fa
Lactobacillus johnsonii NCC 533	Lact_john_NCC_533-tRNAs.fa
Lactococcus lactis	Lact_lact-tRNAs.fa
Lactobacillus plantarum	Lact_plan-tRNAs.fa
Legionella pneumophila Lens	Legi_pneu_Lens-tRNAs.fa
Legionella pneumophila Paris	Legi_pneu_Paris-tRNAs.fa
Legionella pneumophila Philadelphia 1	Legi_pneu_Philadelphia_1-tRNAs.fa
Leifsonia xyli xyli CTCB0	Leif_xyli_xyli_CTCB0-tRNAs.fa
Leptospira interrogans	Lept_inte-tRNAs.fa
Leptospira interrogans serovar Copenhageni	Lept_inte_serovar_Copenhageni-tRNAs.fa
Leptospira interrogans serovar Lai	Lept_inte_serovar_Lai-tRNAs.fa
Listeria innocua	List_inno-tRNAs.fa
Listeria monocytogenes	List_mono-tRNAs.fa
Listeria monocytogenes 4b F2365	List_mono_4b_F2365-tRNAs.fa
Mannheimia succiniciproducens MBEL55E	Mann_succ_MBEL55E-tRNAs.fa
Mesoplasma florum L1	Meso_flor_L1-tRNAs.fa
Mesorhizobium loti	Meso_loti-tRNAs.fa
Methylococcus capsulatus Bath	Meth_caps_Bath-tRNAs.fa
Mycobacterium avium paratuberculosis	Myco_aviu_paratuberculosis-tRNAs.fa
Mycobacterium bovis	Myco_bovi-tRNAs.fa
Mycoplasma gallisepticum	Myco_gall-tRNAs.fa
Mycoplasma genitalium	Myco_geni-tRNAs.fa
Mycoplasma hyopneumoniae 232	Myco_hyop_232-tRNAs.fa
Mycobacterium leprae	Myco_lepr-tRNAs.fa
Mycoplasma mobile 163K	Myco_mobi_163K-tRNAs.fa
Mycoplasma mycoides	Myco_myco-tRNAs.fa
Mycoplasma penetrans	Myco_pene-tRNAs.fa
Mycoplasma pneumoniae	Myco_pneu-tRNAs.fa
Mycoplasma pulmonis	Myco_pulm-tRNAs.fa
Mycobacterium tuberculosis CDC1551	Myco_tube_CDC1551-tRNAs.fa
Mycobacterium tuberculosis H37Rv	Myco_tube_H37Rv-tRNAs.fa
Neisseria gonorrhoeae FA 1090	Neis_gono_FA_1090-tRNAs.fa
Neisseria meningitidis MC58	Neis_meni_MC58-tRNAs.fa
Neisseria meningitidis Z2491	Neis_meni_Z2491-tRNAs.fa
Nitrosomonas europaea	Nitr_euro-tRNAs.fa
Nocardia farcinica IFM10152	Noca_farc_IFM10152-tRNAs.fa
Nostoc sp	Nost_sp-tRNAs.fa
Oceanobacillus iheyensis	Ocea_ihey-tRNAs.fa
Onion yellows phytoplasma	Onio_yell_phytoplasma-tRNAs.fa
Parachlamydia sp UWE25	Para_sp_UWE25-tRNAs.fa
Pasteurella multocida	Past_mult-tRNAs.fa
Photorhabdus luminescens	Phot_lumi-tRNAs.fa
Photobacterium profundum SS9	Phot_prof_SS9-tRNAs.fa
Pirellula sp	Pire_sp-tRNAs.fa
Porphyromonas gingivalis W83	Porp_ging_W83-tRNAs.fa
Prochlorococcus marinus CCMP1375	Proc_mari_CCMP1375-tRNAs.fa
Prochlorococcus marinus MED4	Proc_mari_MED4-tRNAs.fa
Prochlorococcus marinus MIT9313	Proc_mari_MIT9313-tRNAs.fa
Propionibacterium acnes KPA171202	Prop_acne_KPA171202-tRNAs.fa
Pseudomonas aeruginosa	Pseu_aeru-tRNAs.fa
Pseudomonas fluorescens Pf-5	Pseu_fluo_Pf-5-tRNAs.fa
Pseudomonas putida KT2440	Pseu_puti_KT2440-tRNAs.fa
Pseudomonas syringae	Pseu_syri-tRNAs.fa
Pseudomonas syringae pv B728a	Pseu_syri_pv_B728a-tRNAs.fa
Ralstonia solanacearum	Rals_sola-tRNAs.fa
Rhodopseudomonas palustris CGA009	Rhod_palu_CGA009-tRNAs.fa
Rickettsia conorii	Rick_cono-tRNAs.fa
Rickettsia felis URRWXCal2	Rick_feli_URRWXCal2-tRNAs.fa
Rickettsia prowazekii	Rick_prow-tRNAs.fa
Rickettsia typhi wilmington	Rick_typh_wilmington-tRNAs.fa
Salmonella enterica Choleraesuis	Salm_ente_Choleraesuis-tRNAs.fa
Salmonella enterica Paratypi ATCC 9150	Salm_ente_Paratypi_ATCC_9150-tRNAs.fa
Salmonella typhi	Salm_typh-tRNAs.fa
Salmonella typhimurium LT2	Salm_typh_LT2-tRNAs.fa
Salmonella typhi Ty2	Salm_typh_Ty2-tRNAs.fa
Shewanella oneidensis	Shew_onei-tRNAs.fa
Shigella flexneri 2a	Shig_flex_2a-tRNAs.fa
Shigella flexneri 2a 2457T	Shig_flex_2a_2457T-tRNAs.fa
Silicibacter pomeroyi DSS-3	Sili_pome_DSS-3-tRNAs.fa
Sinorhizobium meliloti	Sino_meli-tRNAs.fa
Staphylococcus aureus COL	Stap_aure_COL-tRNAs.fa
Staphylococcus aureus MW2	Stap_aure_MW2-tRNAs.fa
Staphylococcus aureus Mu50	Stap_aure_Mu50-tRNAs.fa
